08-20-2026 21:14:36 RAM 4076/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@1267,0%@1267,0%@1267,0%@1267,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@55.125C soc2@51.75C soc0@52.125C gpu@51.843C tj@55.125C soc1@51.875C VDD_GPU_SOC 6780mW/6780mW VDD_CPU_CV 1196mW/1196mW VIN_SYS_5V0 4807mW/4807mW
08-20-2026 21:14:36 RAM 4076/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@729,0%@729,8%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@55C soc2@51.843C soc0@52.093C gpu@51.687C tj@55C soc1@51.875C VDD_GPU_SOC 5985mW/6383mW VDD_CPU_CV 798mW/997mW VIN_SYS_5V0 4707mW/4757mW
08-20-2026 21:14:36 RAM 4076/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,8%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@54.875C soc2@51.687C soc0@52.031C gpu@51.593C tj@54.875C soc1@51.937C VDD_GPU_SOC 5588mW/6118mW VDD_CPU_CV 798mW/931mW VIN_SYS_5V0 4607mW/4707mW
08-20-2026 21:14:36 RAM 4076/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@54.718C soc2@51.593C soc0@52.062C gpu@51.656C tj@54.718C soc1@51.875C VDD_GPU_SOC 5189mW/5886mW VDD_CPU_CV 798mW/898mW VIN_SYS_5V0 4507mW/4657mW
08-20-2026 21:14:36 RAM 4076/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,8%@729,0%@729,8%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@54.718C soc2@51.593C soc0@52C gpu@51.593C tj@54.718C soc1@51.937C VDD_GPU_SOC 4792mW/5667mW VDD_CPU_CV 798mW/878mW VIN_SYS_5V0 4407mW/4607mW
08-20-2026 21:14:36 RAM 4076/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@54.843C soc2@51.625C soc0@51.968C gpu@51.625C tj@54.843C soc1@51.75C VDD_GPU_SOC 4392mW/5454mW VDD_CPU_CV 798mW/864mW VIN_SYS_5V0 4407mW/4574mW
08-20-2026 21:14:36 RAM 4076/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@54.937C soc2@51.562C soc0@52C gpu@51.406C tj@54.687C soc1@51.781C VDD_GPU_SOC 4392mW/5303mW VDD_CPU_CV 798mW/855mW VIN_SYS_5V0 4306mW/4535mW
08-20-2026 21:14:36 RAM 4076/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@54.656C soc2@51.593C soc0@51.906C gpu@51.625C tj@54.656C soc1@51.75C VDD_GPU_SOC 3993mW/5139mW VDD_CPU_CV 399mW/798mW VIN_SYS_5V0 4300mW/4506mW
08-20-2026 21:14:36 RAM 4076/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,8%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@54.562C soc2@51.562C soc0@52.062C gpu@51.437C tj@54.562C soc1@51.781C VDD_GPU_SOC 3995mW/5012mW VDD_CPU_CV 399mW/754mW VIN_SYS_5V0 4300mW/4483mW
08-20-2026 21:14:36 RAM 4076/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [8%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@54.5C soc2@51.531C soc0@52.062C gpu@51.218C tj@54.5C soc1@51.875C VDD_GPU_SOC 3995mW/4910mW VDD_CPU_CV 399mW/718mW VIN_SYS_5V0 4306mW/4465mW
08-20-2026 21:14:37 RAM 4076/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,8%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@54.718C soc2@51.5C soc0@51.968C gpu@51.187C tj@54.718C soc1@51.718C VDD_GPU_SOC 3995mW/4827mW VDD_CPU_CV 399mW/689mW VIN_SYS_5V0 4206mW/4442mW
