08-20-2026 21:15:01 RAM 4068/62841MB (lfb 87x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@1267,0%@1267,0%@1267,0%@1267,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@54.906C soc2@51.687C soc0@52.062C gpu@51.187C tj@54.906C soc1@51.875C VDD_GPU_SOC 4391mW/4391mW VDD_CPU_CV 1596mW/1596mW VIN_SYS_5V0 5008mW/5008mW
08-20-2026 21:15:01 RAM 4068/62841MB (lfb 87x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,8%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@54.968C soc2@51.625C soc0@52.062C gpu@51.5C tj@54.687C soc1@51.906C VDD_GPU_SOC 3992mW/4192mW VDD_CPU_CV 1596mW/1596mW VIN_SYS_5V0 4807mW/4908mW
08-20-2026 21:15:01 RAM 4068/62841MB (lfb 87x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@54.687C soc2@51.625C soc0@51.968C gpu@51.187C tj@54.687C soc1@52C VDD_GPU_SOC 3993mW/4125mW VDD_CPU_CV 1198mW/1463mW VIN_SYS_5V0 4607mW/4807mW
08-20-2026 21:15:01 RAM 4068/62841MB (lfb 87x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@54.593C soc2@51.625C soc0@51.968C gpu@51.093C tj@54.593C soc1@51.875C VDD_GPU_SOC 3993mW/4092mW VDD_CPU_CV 1198mW/1397mW VIN_SYS_5V0 4507mW/4732mW
08-20-2026 21:15:01 RAM 4068/62841MB (lfb 87x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,8%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@54.593C soc2@51.562C soc0@52.187C gpu@51.437C tj@54.593C soc1@51.937C VDD_GPU_SOC 3993mW/4072mW VDD_CPU_CV 798mW/1277mW VIN_SYS_5V0 4507mW/4687mW
08-20-2026 21:15:01 RAM 4068/62841MB (lfb 87x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@54.875C soc2@51.5C soc0@52C gpu@51.406C tj@54.875C soc1@51.781C VDD_GPU_SOC 3594mW/3993mW VDD_CPU_CV 799mW/1198mW VIN_SYS_5V0 4407mW/4641mW
08-20-2026 21:15:02 RAM 4068/62841MB (lfb 87x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@54.781C soc2@51.437C soc0@51.968C gpu@51.593C tj@54.781C soc1@51.843C VDD_GPU_SOC 3594mW/3936mW VDD_CPU_CV 799mW/1141mW VIN_SYS_5V0 4306mW/4593mW
08-20-2026 21:15:02 RAM 4068/62841MB (lfb 87x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@54.656C soc2@51.468C soc0@52C gpu@51.218C tj@54.656C soc1@52.031C VDD_GPU_SOC 3595mW/3893mW VDD_CPU_CV 799mW/1098mW VIN_SYS_5V0 4306mW/4557mW
08-20-2026 21:15:02 RAM 4068/62841MB (lfb 87x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@54.625C soc2@51.562C soc0@51.968C gpu@51.187C tj@54.625C soc1@51.781C VDD_GPU_SOC 3595mW/3860mW VDD_CPU_CV 799mW/1065mW VIN_SYS_5V0 4300mW/4528mW
08-20-2026 21:15:02 RAM 4068/62841MB (lfb 87x4MB) SWAP 0/31421MB (cached 0MB) CPU [9%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@54.468C soc2@51.406C soc0@52.093C gpu@51.187C tj@54.468C soc1@51.875C VDD_GPU_SOC 3595mW/3834mW VDD_CPU_CV 399mW/998mW VIN_SYS_5V0 4200mW/4496mW
08-20-2026 21:15:02 RAM 4068/62841MB (lfb 87x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@54.531C soc2@51.468C soc0@51.875C gpu@51.125C tj@54.531C soc1@51.906C VDD_GPU_SOC 3595mW/3812mW VDD_CPU_CV 399mW/944mW VIN_SYS_5V0 4200mW/4469mW
08-20-2026 21:15:02 RAM 4068/62841MB (lfb 87x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,8%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@54.781C soc2@51.531C soc0@51.968C gpu@51.156C tj@54.781C soc1@51.875C VDD_GPU_SOC 3595mW/3794mW VDD_CPU_CV 399mW/898mW VIN_SYS_5V0 4200mW/4446mW
08-20-2026 21:15:02 RAM 4068/62841MB (lfb 87x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@54.562C soc2@51.437C soc0@52.093C gpu@51.031C tj@54.562C soc1@51.843C VDD_GPU_SOC 3595mW/3778mW VDD_CPU_CV 399mW/860mW VIN_SYS_5V0 4200mW/4427mW
08-20-2026 21:15:02 RAM 4068/62841MB (lfb 87x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@1497,0%@1497,9%@1497,0%@1497,10%@1497,0%@1497,0%@1497,0%@1497,0%@1420,0%@1420,0%@1420,0%@1420] GR3D_FREQ 0% cpu@54.875C soc2@51.5C soc0@51.875C gpu@51.093C tj@54.562C soc1@51.75C VDD_GPU_SOC 3595mW/3765mW VDD_CPU_CV 399mW/827mW VIN_SYS_5V0 4200mW/4411mW
08-20-2026 21:15:02 RAM 4153/62841MB (lfb 87x4MB) SWAP 0/31421MB (cached 0MB) CPU [10%@2201,0%@2201,0%@2201,91%@2201,10%@1958,0%@1958,0%@1958,80%@1958,9%@1804,0%@1804,0%@1804,80%@1804] GR3D_FREQ 94% cpu@55.218C soc2@51.468C soc0@52C gpu@51.125C tj@55.218C soc1@51.812C VDD_GPU_SOC 3993mW/3781mW VDD_CPU_CV 1198mW/852mW VIN_SYS_5V0 4407mW/4411mW
08-20-2026 21:15:03 RAM 4413/62841MB (lfb 87x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,70%@2201,18%@1958,9%@1958,0%@1958,70%@1958,0%@1728,0%@1728,0%@1728,63%@1728] GR3D_FREQ 59% cpu@55.531C soc2@51.625C soc0@51.843C gpu@51.312C tj@55.531C soc1@51.906C VDD_GPU_SOC 3992mW/3794mW VDD_CPU_CV 1996mW/923mW VIN_SYS_5V0 4707mW/4429mW
