08-20-2026 21:13:19 RAM 4083/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@1267,0%@1267,0%@1267,0%@1267,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@53.218C soc2@50.093C soc0@50.406C gpu@49.968C tj@53.218C soc1@49.968C VDD_GPU_SOC 7182mW/7182mW VDD_CPU_CV 798mW/798mW VIN_SYS_5V0 4607mW/4607mW
08-20-2026 21:13:20 RAM 4083/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@53.156C soc2@50.125C soc0@50.281C gpu@50.187C tj@53.156C soc1@50.062C VDD_GPU_SOC 6387mW/6785mW VDD_CPU_CV 798mW/798mW VIN_SYS_5V0 4507mW/4557mW
08-20-2026 21:13:20 RAM 4083/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,8%@729,0%@729,0%@729,0%@729,8%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@53.343C soc2@50.125C soc0@50.218C gpu@50.062C tj@53.343C soc1@49.906C VDD_GPU_SOC 5588mW/6386mW VDD_CPU_CV 798mW/798mW VIN_SYS_5V0 4400mW/4505mW
08-20-2026 21:13:20 RAM 4083/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@53C soc2@50.093C soc0@50.375C gpu@49.875C tj@53C soc1@49.906C VDD_GPU_SOC 5191mW/6087mW VDD_CPU_CV 399mW/698mW VIN_SYS_5V0 4400mW/4479mW
08-20-2026 21:13:20 RAM 4083/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,8%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@53.062C soc2@49.968C soc0@50.218C gpu@49.968C tj@53.062C soc1@49.875C VDD_GPU_SOC 4792mW/5828mW VDD_CPU_CV 399mW/638mW VIN_SYS_5V0 4300mW/4443mW
08-20-2026 21:13:20 RAM 4083/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@53.031C soc2@50.031C soc0@50.25C gpu@49.812C tj@53.031C soc1@49.906C VDD_GPU_SOC 4394mW/5589mW VDD_CPU_CV 399mW/599mW VIN_SYS_5V0 4300mW/4419mW
08-20-2026 21:13:20 RAM 4083/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@52.906C soc2@49.937C soc0@50.093C gpu@49.75C tj@52.906C soc1@50C VDD_GPU_SOC 4394mW/5418mW VDD_CPU_CV 399mW/570mW VIN_SYS_5V0 4200mW/4388mW
08-20-2026 21:13:20 RAM 4083/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,9%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@53.187C soc2@50C soc0@50.187C gpu@49.625C tj@53.187C soc1@49.812C VDD_GPU_SOC 3995mW/5240mW VDD_CPU_CV 399mW/549mW VIN_SYS_5V0 4200mW/4364mW
08-20-2026 21:13:20 RAM 4083/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@52.875C soc2@49.906C soc0@50.25C gpu@49.593C tj@52.875C soc1@49.812C VDD_GPU_SOC 3995mW/5102mW VDD_CPU_CV 399mW/532mW VIN_SYS_5V0 4200mW/4346mW
08-20-2026 21:13:20 RAM 4083/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@53C soc2@49.906C soc0@50.125C gpu@49.593C tj@53C soc1@49.781C VDD_GPU_SOC 3996mW/4991mW VDD_CPU_CV 399mW/519mW VIN_SYS_5V0 4200mW/4331mW
08-20-2026 21:13:21 RAM 4083/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@53.031C soc2@49.843C soc0@50.125C gpu@49.562C tj@52.843C soc1@49.812C VDD_GPU_SOC 3996mW/4901mW VDD_CPU_CV 399mW/508mW VIN_SYS_5V0 4200mW/4319mW
