08-20-2026 21:12:54 RAM 4081/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [9%@729,0%@729,0%@729,0%@729,18%@1267,45%@1267,9%@1267,50%@1267,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@51.156C soc2@47.75C soc0@47.875C tj@51.156C soc1@47.531C VDD_GPU_SOC 3196mW/3196mW VDD_CPU_CV 1199mW/1199mW VIN_SYS_5V0 4300mW/4300mW
08-20-2026 21:12:54 RAM 4081/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,8%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@50.687C soc2@47.75C soc0@47.968C tj@50.687C soc1@47.625C VDD_GPU_SOC 3197mW/3197mW VDD_CPU_CV 799mW/999mW VIN_SYS_5V0 4200mW/4250mW
08-20-2026 21:12:54 RAM 4081/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@50.656C soc2@47.718C soc0@47.812C tj@50.656C soc1@47.437C VDD_GPU_SOC 3197mW/3197mW VDD_CPU_CV 799mW/932mW VIN_SYS_5V0 4200mW/4233mW
08-20-2026 21:12:54 RAM 4081/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [9%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,8%@729] GR3D_FREQ 0% cpu@50.687C soc2@47.781C soc0@47.812C tj@50.687C soc1@47.5C VDD_GPU_SOC 3197mW/3197mW VDD_CPU_CV 799mW/899mW VIN_SYS_5V0 4200mW/4225mW
08-20-2026 21:12:54 RAM 4081/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,8%@729,0%@729] GR3D_FREQ 0% cpu@50.593C soc2@47.812C soc0@47.906C tj@50.593C soc1@47.562C VDD_GPU_SOC 3197mW/3197mW VDD_CPU_CV 799mW/879mW VIN_SYS_5V0 4100mW/4200mW
08-20-2026 21:12:55 RAM 4081/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@50.593C soc2@47.718C soc0@47.75C tj@50.593C soc1@47.593C VDD_GPU_SOC 3197mW/3197mW VDD_CPU_CV 399mW/799mW VIN_SYS_5V0 4100mW/4183mW
08-20-2026 21:12:55 RAM 4081/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@50.625C soc2@47.75C soc0@47.812C tj@50.625C soc1@47.468C VDD_GPU_SOC 3197mW/3197mW VDD_CPU_CV 399mW/742mW VIN_SYS_5V0 4100mW/4171mW
08-20-2026 21:12:55 RAM 4081/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [8%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@50.625C soc2@47.843C soc0@47.906C tj@50.625C soc1@47.468C VDD_GPU_SOC 3197mW/3197mW VDD_CPU_CV 399mW/699mW VIN_SYS_5V0 4100mW/4163mW
08-20-2026 21:12:55 RAM 4081/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@50.562C soc2@47.687C soc0@47.968C tj@50.562C soc1@47.562C VDD_GPU_SOC 3197mW/3197mW VDD_CPU_CV 399mW/666mW VIN_SYS_5V0 4000mW/4144mW
08-20-2026 21:12:55 RAM 4081/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@50.562C soc2@47.781C soc0@47.781C tj@50.562C soc1@47.468C VDD_GPU_SOC 3197mW/3197mW VDD_CPU_CV 399mW/639mW VIN_SYS_5V0 4000mW/4130mW
08-20-2026 21:12:55 RAM 4081/62841MB (lfb 89x4MB) SWAP 0/31421MB (cached 0MB) CPU [8%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@50.531C soc2@47.718C soc0@47.875C tj@50.531C soc1@47.5C VDD_GPU_SOC 3197mW/3197mW VDD_CPU_CV 399mW/617mW VIN_SYS_5V0 4000mW/4118mW
