name,cout,nominal_bytes,fps_1c,fps_2c,fps_3c,scale_3c_1c,scale_2c_1c
tr_c5,5,3920,368.46,736.65,1098.65,2.982,1.999
tr_c20,20,15680,368.48,735.8,1092.58,2.965,1.997
tr_c41,41,32144,367.43,730.56,1096.71,2.985,1.988
tr_c82,82,64288,367.39,735.57,1097.27,2.987,2.002
tr_c163,163,127792,367.42,734.07,892.28,2.429,1.998
tr_c327,327,256368,362.81,656.71,720.24,1.985,1.81
tr_c490,490,384160,361.59,652.99,676.61,1.871,1.806
tr_c653,653,511952,360.34,642.89,574.61,1.595,1.784
tr_c980,980,768320,360.88,534.51,538.31,1.492,1.481
tr_c1276,1276,1000384,359.79,432.73,435.64,1.211,1.203
tr_c2551,2551,1999984,223.46,222.64,222.52,0.996,0.996
tr_c5102,5102,3999968,112.09,111.81,112.04,1.0,0.998
